customer_unique_id,recency_days,delivered_orders,monetary,total_orders,orders_per_month,avg_order_value,num_late_deliveries,avg_delivery_days,review_score,is_repurchase
00a78b45ea275348c1a8081bef9ab61b,153,1.0,182.29,1,0.19607843137254904,182.29,0.0,6.0,4.0,0
00a9fd000ff87bb48b989df819c418f5,72,1.0,259.4,1,0.4166666666666667,259.4,0.0,6.0,5.0,0
00ac9cd5c4ad19e16e7c6f6864711737,398,1.0,231.45,1,0.07537688442211055,231.45,0.0,11.0,5.0,0
00adeda9b742746c0c66e10d00ea1b74,205,1.0,2148.4,1,0.14634146341463417,2148.4,0.0,7.0,1.0,0
00ae50eb5e1d2514f694dee1dcbbd5ae,21,1.0,276.11,1,1.4285714285714286,276.11,0.0,6.0,1.0,0
00af5c2c9fd47849143be82aea5ab2cf,142,1.0,148.76,1,0.2112676056338028,148.76,0.0,31.0,5.0,0
00b0d21952ae29dfe79db614512a27c2,174,1.0,418.17,1,0.1724137931034483,418.17,0.0,10.0,5.0,0
00b1b0f856eb804d554ceab3d8f1dc35,132,1.0,226.14,1,0.22727272727272727,226.14,0.0,10.0,1.0,0
00b21d737fc7f475c145ca292832385d,97,1.0,177.59,1,0.30927835051546393,177.59,0.0,10.0,5.0,0
00b2ee6366438f46105832fd9acaf56f,58,1.0,283.54,1,0.5172413793103449,283.54,0.0,11.0,5.0,0
00b8076004092a29c2c934570c356fc7,72,1.0,223.88,1,0.4166666666666667,223.88,0.0,8.0,5.0,0
00bd194837f2ad36d45985a6205df78a,33,1.0,169.37,1,0.9090909090909091,169.37,0.0,5.0,5.0,0
00bee19e1199bc5cede1c674177b9e22,195,1.0,673.69,1,0.15384615384615385,673.69,1.0,25.0,0.0,0
00c3624c55261d9ce593f30e3815a880,439,1.0,414.06,1,0.0683371298405467,414.06,0.0,20.0,3.0,0
00cc12a6d8b578b8ebd21ea4e2ae8b27,436,2.0,126.2,2,0.13761467889908258,63.1,0.0,5.5,4.0,0
00cc12a6d8b578b8ebd21ea4e2ae8b27,436,2.0,126.2,2,0.13761467889908258,63.1,0.0,5.5,4.0,0
00cf2f12497614285e5dbfb77d6dd312,44,1.0,284.23,1,0.6818181818181819,284.23,0.0,10.0,5.0,0
00d079bd851bf5d13879d7a2a3b5ec48,132,1.0,178.46,1,0.22727272727272727,178.46,0.0,20.0,4.0,0
00d8411c0f5ee4e0a9b8900ea483680e,173,1.0,246.38,1,0.17341040462427745,246.38,0.0,10.0,1.0,0
00d8ba74be3eee415fe4508fdd325ee5,120,1.0,372.69,1,0.25,372.69,0.0,7.0,5.0,0
00da34ebf22b87f6c2f53dc069f237df,14,1.0,246.99,1,2.142857142857143,246.99,0.0,5.0,3.0,0
00db0070b3c3bd0215072323c8499407,39,1.0,351.33,1,0.7692307692307692,351.33,0.0,4.0,5.0,0
00db525fd8d4023dc446f0ed2519139f,309,1.0,212.43,1,0.0970873786407767,212.43,0.0,12.0,5.0,0
00e20792154788aa00f53fbd616a8d91,54,1.0,185.9,1,0.5555555555555556,185.9,0.0,9.0,4.0,0
00e2972a013072289c3e86cfc2b9e38d,270,1.0,215.05,1,0.1111111111111111,215.05,0.0,9.0,5.0,0
00e6c1a9e0ea3dbda699b60023a194ac,117,1.0,159.31,1,0.25641025641025644,159.31,0.0,4.0,5.0,0
00e8cbf31206edcf22b7b118daa13983,134,1.0,292.22,1,0.22388059701492538,292.22,0.0,13.0,1.0,0
00ec6ce865af3a65e9cca32b180e5d20,83,1.0,186.96,1,0.3614457831325301,186.96,0.0,17.0,3.0,0
00eca7e1c994897d0a31bf75478f4b55,453,1.0,373.22,1,0.06622516556291391,373.22,0.0,8.0,5.0,0
00ecc71175078e2cac5547a5656e9622,355,1.0,235.13,1,0.08450704225352113,235.13,0.0,9.0,5.0,0
00f8151e6b5d1b3710527075ef845a88,142,1.0,159.86,1,0.2112676056338028,159.86,0.0,1.0,5.0,0
00fb8f6787f67bd33c7e86c9691d2b1c,136,1.0,274.39,1,0.22058823529411764,274.39,0.0,21.0,1.0,0
01018f26fb8b8a922c025de40a85a553,145,1.0,213.43,1,0.20689655172413796,213.43,0.0,4.0,5.0,0
0101da21926315ddd81d190e0ec40440,218,1.0,161.62,1,0.13761467889908258,161.62,0.0,13.0,2.0,0
01029c2615eacab8d39f0450e6b0bef3,301,1.0,227.27,1,0.09966777408637874,227.27,0.0,18.0,4.0,0
0104a702e0f73442fe4dc3bfff6ba373,53,1.0,273.25,1,0.5660377358490566,273.25,0.0,4.0,5.0,0
